claim_id,n,p_q,h_q,claim,label,truth
6,24,1.0,3.8918202981106256,The polar bear population has been growing.,REFUTES,FALSE
19,24,1.0,3.8918202981106256,"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.",REFUTES,FALSE
21,24,1.0,3.8918202981106256,"Sea level rise has been slow and a constant, pre-dating industrialization",REFUTES,FALSE
33,24,1.0,3.8918202981106256,Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate,REFUTES,FALSE
79,24,1.0,3.8918202981106256,The rate of warming according to the data is much slower than the models used by the IPCC,REFUTES,FALSE
127,24,0.5,0.0,Increased atmospheric carbon dioxide has helped raise global food production and reduce poverty.,REFUTES,FALSE
173,24,1.0,3.8918202981106256,"If there were [carbon emissions], we could not see because most carbon is black.",REFUTES,FALSE
190,24,0.0,-3.8918202981106265,Climate change is normal and continual.,SUPPORTS,TRUE
207,24,0.875,1.815289966638249,Each of the six major past ice ages began when the atmospheric carbon dioxide content was far higher than at present.,REFUTES,FALSE
243,24,1.0,3.8918202981106256,"In its 5th assessment report in 2013, the IPCC estimated that human emissions are probably responsible for more than half of the observed increase in global average temperature from 1951 to 2010.",SUPPORTS,TRUE
279,24,0.0,-3.8918202981106265,"In one particularly damning email, CRU director Phil Jones said he had used ‘Mike’s Nature trick’ to ‘hide the decline’ in temperatures in the second half of the 20th century.",SUPPORTS,TRUE
282,24,0.0,-3.8918202981106265,The panel was forced to retract a statement in its 2007 report saying all Himalayan glaciers could melt entirely by 2035.,SUPPORTS,TRUE
306,24,1.0,3.8918202981106256,There is no statistical evidence that global warming is intensifying[…] droughts,REFUTES,FALSE
342,24,1.0,3.8918202981106256,"While members of the media may nod along to such claims [about changes in weather extremes], the evidence paints a different story",SUPPORTS,TRUE
349,24,1.0,3.8918202981106256,Nor is there evidence of an increase in floods globally.,REFUTES,FALSE
382,24,1.0,3.8918202981106256,The amount of energy used to construct solar and wind facilities is greater than they produce in their working lives.,REFUTES,FALSE
383,24,1.0,3.8918202981106256,"“As soon as renewables were introduced into the grid, electric­ity prices increased and delivery became unreliable.",REFUTES,FALSE
390,24,1.0,3.8918202981106256,"there were no ice sheets covering either Greenland or West Antarctica, and much of the East Antarctic ice sheet was gone.",REFUTES,FALSE
443,24,1.0,3.8918202981106256,"“Today climate scientists are obsessed with the level of carbon dioxide in the atmosphere, a very very small part of the overall picture.",REFUTES,FALSE
482,24,0.5,0.0,"It is expected the report will focus on required changes to the energy system, rather than forests.",SUPPORTS,TRUE
564,24,1.0,3.8918202981106256,This could mean the landmark Paris Climate Agreement – which seeks to limit global warming to 2 degrees Celsius (3.6 degrees Fahrenheit) above pre-industrial levels – may not be enough to ward off catastrophe.,SUPPORTS,TRUE
577,24,1.0,3.8918202981106256,‘Heatwaves are far more intense than when my parents were growing up in the 1950s.,SUPPORTS,TRUE
578,24,1.0,3.8918202981106256,"‘If we do nothing to reduce our greenhouse gas emissions, the kind of extreme heat we saw this past summer will be the norm when my young son is a grown man.’",SUPPORTS,TRUE
583,24,1.0,3.8918202981106256,"But despite [the Gulf Stream], the summer of 2018 looks set to be one of the hottest on record.",SUPPORTS,TRUE
620,24,0.8333333333333334,1.5163474893680882,"Temperatures in the Southwest increased by nearly two degrees Fahrenheit (one degree Celsius) from 1901 to 2010, and some climate models forecast a total rise of six degrees or more by the end of this century.",SUPPORTS,TRUE
717,24,1.0,3.8918202981106256,Scientists used to think that ice sheets could take millennia to respond to changing climates,SUPPORTS,TRUE
728,24,0.0,-3.8918202981106265,"The sea was much colder than previously thought, the study suggests, indicating that climate change is advancing at an unprecedented rate”",SUPPORTS,TRUE
742,24,1.0,3.8918202981106256,Global human emissions are only 3 per cent of total annual emissions.,REFUTES,FALSE
830,24,1.0,3.8918202981106256,parts of the Earth will likely become close to uninhabitable,SUPPORTS,TRUE
905,24,1.0,3.8918202981106256,"“Some experts, such as UN climate scientist Dr. Indur Goklany, have defended rising CO2 levels as a good thing for humanity.",REFUTES,FALSE
982,24,0.0,-3.8918202981106265,Not everyone is convinced that the evidence is in that climate change is responsible for extreme swings between drought and deluge.,REFUTES,FALSE
983,24,0.4583333333333333,-0.16034265007517937,"‘The dry periods are drier and the wet periods are wetter,’ said Jeffrey Mount, a water expert and senior fellow at the Public Policy Institute of California.",SUPPORTS,TRUE
993,24,1.0,3.8918202981106256,"While there has been a mean rise of a little more than 3mm per year worldwide since the 1990s, in the last decade, the NOAA Virginia Key tide gauge just south of Miami Beach has measured a 9mm rise annually.”",SUPPORTS,TRUE
996,24,1.0,3.8918202981106256,But when the Arctic warms up faster than the equator does […] the jet stream’s flow can become weakened and elongated.,SUPPORTS,TRUE
1034,24,1.0,3.8918202981106256,"Your odds of correctly guessing the outcome of a flipped coin are 1 in 2, but your odds of guessing correctly twice in a row are only 1 in 4 —",SUPPORTS,TRUE
1057,24,1.0,3.8918202981106256,"“Moreover, the ocean already contains so-called oxygen minimum zones, generally found in the middle depths.",SUPPORTS,TRUE
1089,24,1.0,3.8918202981106256,"Last year’s warmth was manifested across the planet, from the warm tropical ocean waters off the coast of northeastern Australia, where the Great Barrier Reef experienced its worst coral bleaching event on record and large scale coral death, to the Arctic, where sea ice hit regular monthly record lows and overall temperatures were also the warmest on record, at least from January through September 2016.",SUPPORTS,TRUE
1103,24,0.5,0.0,[ocean acidification was ] First referenced in a peer-reviewed study in Nature in 2003,SUPPORTS,TRUE
1121,24,0.0,-3.8918202981106265,"Another consequence of the fast melting Arctic raises the possibility that there may be even worse extreme weather to come, according to a few scientists: titanic Atlantic superstorms and hurricanes barreling across Europe.",SUPPORTS,TRUE
