claim_id,claim,label,truth,n,k_correct,p_q,h_q,h_q_se,p_A,selected
1753,"Trenberth is talking about the details of energy flow, not whether global warming is happening.",REFUTES,FALSE,24,0,0.0,-3.8918202981106265,1.4580296087995108,0.5,False
2370,"If there is  a cloud cover, the heat is trapped by water vapour as a greenhouse gas  and the temperature stays quite warm.",REFUTES,FALSE,24,0,0.0,-3.8918202981106265,1.4580296087995108,0.5,False
905,"“Some experts, such as UN climate scientist Dr. Indur Goklany, have defended rising CO2 levels as a good thing for humanity.",REFUTES,FALSE,24,0,0.0,-3.8918202981106265,1.4580296087995108,0.5,False
1324,cold deaths actually occur during moderate temperatures,REFUTES,FALSE,24,1,0.041666666666666664,-3.1354942159291497,0.8595177052156612,0.4583333333333333,False
207,Each of the six major past ice ages began when the atmospheric carbon dioxide content was far higher than at present.,REFUTES,FALSE,24,1,0.041666666666666664,-3.1354942159291497,0.8595177052156612,0.4583333333333333,False
2560,"In the 11,400 years since the end of the last Ice Age, sea  level has risen at an average of 4 feet/century, though it is now rising  much more slowly because very nearly all of the land-based ice that is  at low enough latitudes and altitudes to melt has long since gone.""",REFUTES,FALSE,24,2,0.08333333333333333,-2.3978952727983707,0.6804138174397716,0.5,False
1546,Human CO2 is a tiny fraction of CO2 emissions.,REFUTES,FALSE,24,2,0.08333333333333333,-2.3978952727983707,0.6804138174397716,0.4166666666666667,False
2959,"Even if the warming were as big as the IPCC imagines, it would not be as dangerous as Mr. Brown suggests.",REFUTES,FALSE,24,2,0.08333333333333333,-2.3978952727983707,0.6804138174397716,0.5,False
127,Increased atmospheric carbon dioxide has helped raise global food production and reduce poverty.,REFUTES,FALSE,24,3,0.125,-1.9459101490553135,0.5882760066687646,0.375,False
1831,"(Koch Industries) is among the worst in toxic air pollution in the entire United States ... and churns out more climate-changing greenhouse gases than oil giants Chevron, Shell and Valero.",REFUTES,FALSE,24,3,0.125,-1.9459101490553135,0.5882760066687646,0.375,False
2592,"""A July 6, 2007 study published in the journal Science about Greenland by an international team of scientists found DNA “evidence that suggests the frozen shield covering the immense island survived the Earth’s last period of global warming,” according to a Boston Globe Article.  ...",REFUTES,FALSE,24,3,0.125,-1.9459101490553135,0.5882760066687646,0.375,False
1167,Lake-bottom sediments in Florida tell us that recent major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past.,REFUTES,FALSE,24,3,0.125,-1.9459101490553135,0.5882760066687646,0.4583333333333333,False
1212,"(In technical lingo, the so-called social cost of carbon would be negative.)”",REFUTES,FALSE,24,3,0.125,-1.9459101490553135,0.5882760066687646,0.375,False
982,Not everyone is convinced that the evidence is in that climate change is responsible for extreme swings between drought and deluge.,REFUTES,FALSE,24,4,0.16666666666666666,-1.6094379124341005,0.5313139275527818,0.3333333333333333,False
2579,"Over the past 250 years, humans have added just one part of CO2 in 10,000 to the atmosphere.",REFUTES,FALSE,24,4,0.16666666666666666,-1.6094379124341005,0.5313139275527818,0.3333333333333333,False
1921,"Miami Congressman Carlos ""Curbelo supports drilling offshore"" and ""repeatedly voted against President Obama's ability to fight pollution and combat climate change.""",REFUTES,FALSE,24,4,0.16666666666666666,-1.6094379124341005,0.5313139275527818,0.5,False
1315,cold kills many more people than heat.,REFUTES,FALSE,24,4,0.16666666666666666,-1.6094379124341005,0.5313139275527818,0.3333333333333333,False
2305,"Nevertheless over the last decade, daily record high temperatures occurred twice as often as record lows.",REFUTES,FALSE,24,5,0.20833333333333334,-1.33500106673234,0.49276032999090214,0.4583333333333333,False
2989,"While preventing global warming is relatively cheap, economists can't even accurately estimate the accelerating costs of climate damages if we continue with business-as-usual.",REFUTES,FALSE,24,5,0.20833333333333334,-1.33500106673234,0.49276032999090214,0.7083333333333334,False
2250,"Some global warming 'skeptics' argue that the Earth's climate sensitivity is so low that a doubling of atmospheric CO2 will result in a surface temperature change on the order of 1°C or less, and that therefore global warming is nothing to worry about.",REFUTES,FALSE,24,5,0.20833333333333334,-1.33500106673234,0.49276032999090214,0.2916666666666667,False
2054,During the period 1940 to 1976 there was a cooling of the climate despite increasing CO2 levels.,REFUTES,FALSE,24,5,0.20833333333333334,-1.33500106673234,0.49276032999090214,0.2916666666666667,False
742,Global human emissions are only 3 per cent of total annual emissions.,REFUTES,FALSE,24,5,0.20833333333333334,-1.33500106673234,0.49276032999090214,0.2916666666666667,False
1951,"Scientists are ""questioning the original idea that man-made global warming is what is causing the climate to change. """,REFUTES,FALSE,24,6,0.25,-1.0986122886681098,0.46536299440621254,0.3333333333333333,False
1946,"President Obama's proposal calls for serious cuts in our own long-term carbon emissions, but China and India will still be allowed to increase their emissions.",REFUTES,FALSE,24,6,0.25,-1.0986122886681098,0.46536299440621254,0.3333333333333333,False
390,"there were no ice sheets covering either Greenland or West Antarctica, and much of the East Antarctic ice sheet was gone.",REFUTES,FALSE,24,6,0.25,-1.0986122886681098,0.46536299440621254,0.3333333333333333,False
1952,Scientists project that the Arctic will be ice-free in the summer of 2013.,REFUTES,FALSE,24,7,0.2916666666666667,-0.8873031950009026,0.44543540318737407,0.2916666666666667,False
2935,"Claims have recently surfaced in the blogosphere that an increasing number of scientists are warning of an imminent global cooling, some even going so far as to call it a ""growing consensus"".",REFUTES,FALSE,24,7,0.2916666666666667,-0.8873031950009026,0.44543540318737407,0.375,False
3079,"This was the case last year too, while earlier  years in the DMI analysis period (1958-2010) hardly ever shows Arctic  melt season temperatures this cold (Frank Lansner)",REFUTES,FALSE,24,7,0.2916666666666667,-0.8873031950009026,0.44543540318737407,0.5416666666666666,False
1802,The temporary drop in sea level in 2010 was due to intense land flooding caused by a strong La Nina.,SUPPORTS,TRUE,24,8,0.3333333333333333,-0.6931471805599454,0.4309064083291827,0.25,False
1548,Polar bear numbers are increasing.,REFUTES,FALSE,24,8,0.3333333333333333,-0.6931471805599454,0.4309064083291827,0.16666666666666666,False
173,"If there were [carbon emissions], we could not see because most carbon is black.",REFUTES,FALSE,24,8,0.3333333333333333,-0.6931471805599454,0.4309064083291827,0.4166666666666667,False
1163,"“Global warming and climate change, even if it is 100% caused by humans, is so slow that it cannot be observed by anyone in their lifetime.",REFUTES,FALSE,64,24,0.375,-0.5108256237659907,0.25793650793650796,0.3125,False
1981,The EPA director under Obama said the Clean Power Initiative would have no effect on man-made CO2 emissions.,REFUTES,FALSE,64,25,0.390625,-0.44468582126144557,0.25600870432273337,0.296875,False
6,The polar bear population has been growing.,REFUTES,FALSE,64,26,0.40625,-0.3794896217049037,0.2543724470692204,0.125,True
79,The rate of warming according to the data is much slower than the models used by the IPCC,REFUTES,FALSE,64,27,0.421875,-0.3150810466398954,0.25301215685249495,0.359375,True
2070,"When life is considered, ocean acidification is often found to be a non-problem, or even a benefit.",REFUTES,FALSE,64,28,0.4375,-0.25131442828090605,0.2519152781750923,0.125,True
1609,Greenland has only lost a tiny fraction of its ice mass.,REFUTES,FALSE,64,28,0.4375,-0.25131442828090605,0.2519152781750923,0.125,True
443,"“Today climate scientists are obsessed with the level of carbon dioxide in the atmosphere, a very very small part of the overall picture.",REFUTES,FALSE,64,29,0.453125,-0.1880522315029396,0.2510719439349454,0.296875,True
2081,Heat waves have been decreasing since the 1930s in the U.S. and globally.,REFUTES,FALSE,64,29,0.453125,-0.1880522315029396,0.2510719439349454,0.046875,True
2961,Cooks ’97% consensus’ disproven by a new peer,REFUTES,FALSE,64,30,0.46875,-0.12516314295400605,0.2504747215288806,0.71875,True
19,"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.",REFUTES,FALSE,64,30,0.46875,-0.12516314295400605,0.2504747215288806,0.40625,True
1569,Sea level rise is decelerating.,REFUTES,FALSE,64,31,0.484375,-0.06252035698133393,0.25011842729228884,0.109375,True
349,Nor is there evidence of an increase in floods globally.,REFUTES,FALSE,64,33,0.515625,0.06252035698133393,0.25011842729228884,0.078125,True
